"Name","ID","Subject","Score","Percent","Grade"
"A","1","Chinese","1","10.00","丁"
"A","1","Chinese","3","30.00","丁"
A,1,Chinese,1,10.00,丁
A,1,Chinese,1,10.00,丁
A,1,Chinese,1,10.00,丁
A,1,Chinese,1,10.00,丁
A,1,Chinese,0,0.00,丁
A,1,Chinese,0,0.00,丁
A,1,Chinese,1,10.00,丁
A,1,Chinese,1,10.00,丁
A,1,Chinese,1,10.00,丁
A,1,Chinese,1,10.00,丁
,,Chinese,0,0.00,丁
,,Chinese,0,0.00,丁
,,Chinese,0,0.00,丁
,,Chinese,1,10.00,丁
,,Chinese,1,10.00,丁
,,Math,1,10.00,丁
,,Math,1,10.00,丁
A,1,Chinese,1,10.00,丁
A,1,Math,1,10.00,丁
A,1,Chinese,0,0.00,丁
A,1,Math,0,0.00,丁
A,1,Math,0,0.00,丁
A,1,Math,0,0.00,丁
A,1,Math,1,10.00,丁
A,1,Math,1,10.00,丁
A,1,Math,0,0.00,丁
A,1,Chinese,0,0.00,丁
A,1,Chinese,1,10.00,丁
A,1,Math,0,0.00,丁
A,1,Math,0,0.00,丁
A,1,Math,0,0.00,丁
A,1,Math,0,0.00,丁
,,Math,0,0.00,丁
,,Math,0,0.00,丁
,,Math,0,0.00,丁
,,Math,0,0.00,丁
,,Math,0,0.00,丁
,,Math,0,0.00,丁
,,Math,0,0.00,丁
A,1,Chinese,0,0.00,丁
A,1,Chinese,0,0.00,丁
A,1,Math,0,0.00,丁
,,Math,0,0.00,丁
,,Math,0,0.00,丁
,,Chinese,1,10.00,丁
,,Chinese,0,0.00,丁
A,1,Math,0,0.00,丁
A,1,Math,0,0.00,丁
A,1,Math,0,0.00,丁
A,1,Math,0,0.00,丁
A,1,Math,0,0.00,丁
A,1,Math,0,0.00,丁
A,1,Math,0,0.00,丁
B,2,Chinese,1,10.00,丁
"B","2","Math","0","0.00","丁"
